APR.DRG.Code,APR.DRG.Description
1,LIVER TRANSPLANT &/OR INTESTINAL TRANSPLANT
2,HEART &/OR LUNG TRANSPLANT
3,BONE MARROW TRANSPLANT
4,TRACHEOSTOMY W MV 96+ HOURS W EXTENSIVE PROCEDURE OR ECMO
5,TRACHEOSTOMY W MV 96+ HOURS W/O EXTENSIVE PROCEDURE
6,PANCREAS TRANSPLANT
20,CRANIOTOMY FOR TRAUMA
21,CRANIOTOMY EXCEPT FOR TRAUMA
22,VENTRICULAR SHUNT PROCEDURES
23,SPINAL PROCEDURES
24,EXTRACRANIAL VASCULAR PROCEDURES
26,OTHER NERVOUS SYSTEM & RELATED PROCEDURES
40,SPINAL DISORDERS & INJURIES
41,NERVOUS SYSTEM MALIGNANCY
42,DEGENERATIVE NERVOUS SYSTEM DISORDERS EXC MULT SCLEROSIS
43,MULTIPLE SCLEROSIS & OTHER DEMYELINATING DISEASES
44,INTRACRANIAL HEMORRHAGE
45,CVA & PRECEREBRAL OCCLUSION W INFARCT
46,NONSPECIFIC CVA & PRECEREBRAL OCCLUSION W/O INFARCT
47,TRANSIENT ISCHEMIA
48,"PERIPHERAL, CRANIAL & AUTONOMIC NERVE DISORDERS"
49,BACTERIAL & TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM
50,NON-BACTERIAL INFECTIONS OF NERVOUS SYSTEM EXC VIRAL MENINGITIS
51,VIRAL MENINGITIS
52,NONTRAUMATIC STUPOR & COMA
53,SEIZURE
54,MIGRAINE & OTHER HEADACHES
55,HEAD TRAUMA W COMA >1 HR OR HEMORRHAGE
56,"BRAIN CONTUSION/LACERATION & COMPLICATED SKULL FX, COMA < 1 HR OR NO COMA"
57,"CONCUSSION, CLOSED SKULL FX NOS,UNCOMPLICATED INTRACRANIAL INJURY, COMA < 1 HR OR NO COMA"
58,OTHER DISORDERS OF NERVOUS SYSTEM
70,ORBITAL PROCEDURES
73,EYE PROCEDURES EXCEPT ORBIT
80,ACUTE MAJOR EYE INFECTIONS
82,EYE DISORDERS EXCEPT MAJOR INFECTIONS
89,MAJOR CRANIAL/FACIAL BONE PROCEDURES
90,MAJOR LARYNX & TRACHEA PROCEDURES
91,OTHER MAJOR HEAD & NECK PROCEDURES
92,FACIAL BONE PROCEDURES EXCEPT MAJOR CRANIAL/FACIAL BONE PROCEDURES
93,SINUS & MASTOID PROCEDURES
95,CLEFT LIP & PALATE REPAIR
97,TONSIL & ADENOID PROCEDURES
98,"OTHER EAR, NOSE, MOUTH & THROAT PROCEDURES"
110,"EAR, NOSE, MOUTH, THROAT, CRANIAL/FACIAL MALIGNANCIES"
111,VERTIGO & OTHER LABYRINTH DISORDERS
113,INFECTIONS OF UPPER RESPIRATORY TRACT
114,DENTAL & ORAL DISEASES & INJURIES
115,"OTHER EAR, NOSE, MOUTH,THROAT & CRANIAL/FACIAL DIAGNOSES"
120,MAJOR RESPIRATORY & CHEST PROCEDURES
121,OTHER RESPIRATORY & CHEST PROCEDURES
130,RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS
131,CYSTIC FIBROSIS - PULMONARY DISEASE
132,BPD & OTH CHRONIC RESPIRATORY DISEASES ARISING IN PERINATAL PERIOD
133,PULMONARY EDEMA & RESPIRATORY FAILURE
134,PULMONARY EMBOLISM
135,MAJOR CHEST & RESPIRATORY TRAUMA
136,RESPIRATORY MALIGNANCY
137,MAJOR RESPIRATORY INFECTIONS & INFLAMMATIONS
138,BRONCHIOLITIS & RSV PNEUMONIA
139,OTHER PNEUMONIA
140,CHRONIC OBSTRUCTIVE PULMONARY DISEASE
141,ASTHMA
142,INTERSTITIAL LUNG DISEASE
143,"OTHER RESPIRATORY DIAGNOSES EXCEPT SIGNS, SYMPTOMS & MINOR DIAGNOSES"
144,"RESPIRATORY SIGNS, SYMPTOMS & MINOR DIAGNOSES"
160,MAJOR CARDIOTHORACIC REPAIR OF HEART ANOMALY
161,CARDIAC DEFIBRILLATOR & HEART ASSIST IMPLANT
162,CARDIAC VALVE PROCEDURES W CARDIAC CATHETERIZATION
163,CARDIAC VALVE PROCEDURES W/O CARDIAC CATHETERIZATION
165,CORONARY BYPASS W CARDIAC CATH OR PERCUTANEOUS CARDIAC PROCEDURE
166,CORONARY BYPASS W/O CARDIAC CATH OR PERCUTANEOUS CARDIAC PROCEDURE
167,OTHER CARDIOTHORACIC PROCEDURES
169,MAJOR THORACIC & ABDOMINAL VASCULAR PROCEDURES
170,"PERMANENT CARDIAC PACEMAKER IMPLANT W AMI, HEART FAILURE OR SHOCK"
171,"PERM CARDIAC PACEMAKER IMPLANT W/O AMI, HEART FAILURE OR SHOCK"
173,OTHER VASCULAR PROCEDURES
174,PERCUTANEOUS CARDIOVASCULAR PROCEDURES W AMI
175,PERCUTANEOUS CARDIOVASCULAR PROCEDURES W/O AMI
176,CARDIAC PACEMAKER & DEFIBRILLATOR DEVICE REPLACEMENT
177,CARDIAC PACEMAKER & DEFIBRILLATOR REVISION EXCEPT DEVICE REPLACEMENT
180,OTHER CIRCULATORY SYSTEM PROCEDURES
190,ACUTE MYOCARDIAL INFARCTION
191,CARDIAC CATHETERIZATION W CIRC DISORD EXC ISCHEMIC HEART DISEASE
192,CARDIAC CATHETERIZATION FOR ISCHEMIC HEART DISEASE
193,ACUTE & SUBACUTE ENDOCARDITIS
194,HEART FAILURE
196,CARDIAC ARREST
197,PERIPHERAL & OTHER VASCULAR DISORDERS
198,ANGINA PECTORIS & CORONARY ATHEROSCLEROSIS
199,HYPERTENSION
200,CARDIAC STRUCTURAL & VALVULAR DISORDERS
201,CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS
203,CHEST PAIN
204,SYNCOPE & COLLAPSE
205,CARDIOMYOPATHY
206,"MALFUNCTION,REACTION,COMPLICATION OF CARDIAC/VASC DEVICE OR PROCEDURE"
207,OTHER CIRCULATORY SYSTEM DIAGNOSES
220,"MAJOR STOMACH, ESOPHAGEAL & DUODENAL PROCEDURES"
221,MAJOR SMALL & LARGE BOWEL PROCEDURES
222,"OTHER STOMACH, ESOPHAGEAL & DUODENAL PROCEDURES"
223,OTHER SMALL & LARGE BOWEL PROCEDURES
224,PERITONEAL ADHESIOLYSIS
225,APPENDECTOMY
226,ANAL PROCEDURES
227,"HERNIA PROCEDURES EXCEPT INGUINAL, FEMORAL & UMBILICAL"
228,"INGUINAL, FEMORAL & UMBILICAL HERNIA PROCEDURES"
229,OTHER DIGESTIVE SYSTEM & ABDOMINAL PROCEDURES
240,DIGESTIVE MALIGNANCY
241,PEPTIC ULCER & GASTRITIS
242,MAJOR ESOPHAGEAL DISORDERS
243,OTHER ESOPHAGEAL DISORDERS
244,DIVERTICULITIS & DIVERTICULOSIS
245,INFLAMMATORY BOWEL DISEASE
246,GASTROINTESTINAL VASCULAR INSUFFICIENCY
247,INTESTINAL OBSTRUCTION
248,MAJOR GASTROINTESTINAL & PERITONEAL INFECTIONS
249,"NON-BACTERIAL GASTROENTERITIS, NAUSEA & VOMITING"
251,ABDOMINAL PAIN
252,"MALFUNCTION, REACTION & COMPLICATION OF GI DEVICE OR PROCEDURE"
253,OTHER & UNSPECIFIED GASTROINTESTINAL HEMORRHAGE
254,OTHER DIGESTIVE SYSTEM DIAGNOSES
260,"MAJOR PANCREAS, LIVER & SHUNT PROCEDURES"
261,MAJOR BILIARY TRACT PROCEDURES
262,CHOLECYSTECTOMY EXCEPT LAPAROSCOPIC
263,LAPAROSCOPIC CHOLECYSTECTOMY
264,"OTHER HEPATOBILIARY, PANCREAS & ABDOMINAL PROCEDURES"
279,HEPATIC COMA & OTHER MAJOR ACUTE LIVER DISORDERS
280,ALCOHOLIC LIVER DISEASE
281,MALIGNANCY OF HEPATOBILIARY SYSTEM & PANCREAS
282,DISORDERS OF PANCREAS EXCEPT MALIGNANCY
283,OTHER DISORDERS OF THE LIVER
284,DISORDERS OF GALLBLADDER & BILIARY TRACT
301,HIP JOINT REPLACEMENT
302,KNEE JOINT REPLACEMENT
303,DORSAL & LUMBAR FUSION PROC FOR CURVATURE OF BACK
304,DORSAL & LUMBAR FUSION PROC EXCEPT FOR CURVATURE OF BACK
305,AMPUTATION OF LOWER LIMB EXCEPT TOES
