APR.MDC.Code,APR.MDC.Description
0,Pre-MDC or Ungroupable
1,Diseases and Disorders of the Nervous System
2,Diseases and Disorders of the Eye
3,"Ear, Nose, Mouth, Throat and Craniofacial Diseases and Disorders"
4,Diseases and Disorders of the Respiratory System
5,Diseases and Disorders of the Circulatory System
6,Diseases and Disorders of the Digestive System
7,Diseases and Disorders of the Hepatobiliary System and Pancreas
8,Diseases and Disorders of the Musculoskeletal System and Conn Tissue
9,"Diseases and Disorders of the Skin, Subcutaneous Tissue and Breast"
10,"Endocrine, Nutritional and Metabolic Diseases and Disorders"
11,Diseases and Disorders of the Kidney and Urinary Tract
12,Diseases and Disorders of the Male Reproductive System
13,Diseases and Disorders of the Female Reproductive System
14,"Pregnancy, Childbirth and the Puerperium"
15,Newborns and Other Neonates with Conditions Originating in the Perinatal Period
16,"Diseases and Disorders of Blood, Blood Forming Organs and Immunological Disorders"
17,"Lymphatic, Hematopoietic, Other Malignancies, Chemotherapy and Radiotherapy"
18,"Infectious and Parasitic Diseases, Systemic or Unspecified Sites"
19,Mental Diseases and Disorders
20,Alcohol/Drug Use and Alcohol/Drug Induced Organic Mental Disorders
21,"Poisonings, Toxic Effects, Other Injuries and Other Complications of Treatment"
22,Burns
23,"Rehabilitation, Aftercare, Other Factors Influencing Health Status and Other Health Service Contacts"
24,Human Immunodeficiency Virus Infections
25,Multiple Significant Trauma
